method,attention,clip_new_prompt_sim,clip_old_image_sim,clip_old_image_distance
baseline,none,0.3296704816818237,0.6879972007870674,0.7742302805185318
exp,cross,0.32601085036993027,0.7620809742808342,0.6697464582324028
exp,self,0.30863956958055494,0.9015341007709503,0.41432954639196395
linear,cross,0.3265809051692486,0.8184070324897766,0.5778426411747932
linear,self,0.30322751477360727,0.926290722489357,0.3548301563411951
quadratic,cross,0.3201166582107544,0.8509889149665832,0.5196001379191876
quadratic,self,0.297598365098238,0.9409075337648392,0.31734014719724657
replace,cross,0.3145357967913151,0.8679565244913101,0.48430942311882974
replace,self,0.3145357967913151,0.8679565244913101,0.48430942311882974
sigmoid,cross,0.3273789159953594,0.8185375994443893,0.577176707983017
sigmoid,self,0.3045186522603035,0.9214564371109009,0.3683325479924679
