method,attention,clip_new_prompt_sim,clip_old_image_sim,dino_struct_dist
baseline,-,0.3142001686990261,0.8082124763727188,0.08196968544274569
replace,-,0.3079467430710793,0.9085261768102646,0.01944019812857732
exp,cross,0.30929365023970606,0.9064978075027466,0.020147587265819313
exp,self,0.31099491730332374,0.9045935171842575,0.020466619681101292
linear,cross,0.30660329237580297,0.9216277414560318,0.015443383267847822
linear,self,0.3068840916454792,0.9297013247013092,0.011614900468848645
quadratic,cross,0.3043760146200657,0.932340327501297,0.0129024407628458
quadratic,self,0.3053909879922867,0.9401901614665985,0.008483799649402499
sigmoid,cross,0.30660670816898344,0.9171373867988586,0.016662043433170765
sigmoid,self,0.3083680833876133,0.9218547874689103,0.014249393504578621
